K,savings,prec,rec,d_L,t_H,TP,FP
5,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,,,,
9,0.126,0.8181818181818182,0.46153846153846156,0.06,0.9,18.0,4.0
10,0.13333333333333333,0.8,0.5128205128205128,0.12999999999999998,0.9,20.0,5.0
11,0.152,0.8,0.6153846153846154,0.18999999999999997,0.9,24.0,6.0
12,0.15,0.8620689655172413,0.6410256410256411,0.16999999999999996,0.9,25.0,4.0
13,0.14733333333333334,0.8387096774193549,0.6666666666666666,0.22999999999999995,0.9,26.0,5.0
14,0.13866666666666666,0.8387096774193549,0.6666666666666666,0.24999999999999994,0.9,26.0,5.0
15,0.125,0.8333333333333334,0.6410256410256411,0.22999999999999995,0.9,25.0,5.0
16,0.112,0.8275862068965517,0.6153846153846154,0.21999999999999995,0.9,24.0,5.0
18,0.096,0.8,0.6153846153846154,0.26999999999999996,0.9,24.0,6.0
20,0.06666666666666667,0.8333333333333334,0.5128205128205128,0.26999999999999996,0.9,20.0,4.0
22,0.050666666666666665,0.8636363636363636,0.48717948717948717,0.27999999999999997,0.9,19.0,3.0
25,0.028333333333333332,0.8947368421052632,0.4358974358974359,0.24999999999999994,0.9,17.0,2.0
