K,savings,prec,rec,d_L,TP,FP
5,0.0,0.0,0.0,,0,0
6,0.0,0.0,0.0,,0,0
7,0.0,0.0,0.0,,0,0
8,0.0,0.0,0.0,,0,0
9,0.0,0.0,0.0,,0,0
10,0.11333333333333333,0.8095238095238095,0.4358974358974359,0.11,17,4
11,0.114,0.8181818181818182,0.46153846153846156,0.13999999999999999,18,4
12,0.12,0.8333333333333334,0.5128205128205128,0.16999999999999998,20,4
13,0.119,0.8076923076923077,0.5384615384615384,0.22999999999999998,21,5
14,0.11733333333333333,0.8148148148148148,0.5641025641025641,0.25,22,5
15,0.105,0.8076923076923077,0.5384615384615384,0.24,21,5
16,0.09333333333333334,0.8,0.5128205128205128,0.24,20,5
17,0.08666666666666667,0.8,0.5128205128205128,0.25,20,5
18,0.064,0.8421052631578947,0.41025641025641024,0.22999999999999998,16,3
19,0.058666666666666666,0.8421052631578947,0.41025641025641024,0.25,16,3
20,0.05333333333333334,0.8,0.41025641025641024,0.27,16,4
21,0.042,0.8235294117647058,0.358974358974359,0.26,14,3
22,0.04,0.8333333333333334,0.38461538461538464,0.28,15,3
23,0.03266666666666666,0.8235294117647058,0.358974358974359,0.28,14,3
24,0.026,0.8125,0.3333333333333333,0.28,13,3
25,0.021666666666666667,0.8125,0.3333333333333333,0.28,13,3
