rule,n_params,TP,FP,prec,rec,f1,savings,params,K
R0 (no gate),0,0,0,,0.0,0.0,0.0,,10
R1: div < dL,1,17,4,0.8095238095238095,0.4358974358974359,0.5666666666666667,0.11333333333333333,d_low=0.11,10
R2: term ≤ tL OR term ≥ tH,2,0,0,,0.0,0.0,0.0,(no operating point ≥0.80 prec),10
R3 (OR): div < dL OR term ≥ tH,2,19,4,0.8260869565217391,0.48717948717948717,0.6129032258064516,0.12666666666666668,"d_low=0.12, t_high=0.90",10
R3' (AND): div < dL AND term ≥ tH,2,16,4,0.8,0.41025641025641024,0.5423728813559321,0.10666666666666667,"d_low=0.10, t_high=0.00",10
R4: div<dL OR (div>dH AND term extreme),4,0,0,,0.0,0.0,0.0,(no operating point ≥0.80 prec),10
R0 (no gate),0,0,0,,0.0,0.0,0.0,,15
R1: div < dL,1,21,5,0.8076923076923077,0.5384615384615384,0.6461538461538461,0.105,d_low=0.24,15
R2: term ≤ tL OR term ≥ tH,2,0,0,,0.0,0.0,0.0,(no operating point ≥0.80 prec),15
R3 (OR): div < dL OR term ≥ tH,2,25,5,0.8333333333333334,0.6410256410256411,0.7246376811594204,0.125,"d_low=0.24, t_high=0.90",15
R3' (AND): div < dL AND term ≥ tH,2,21,5,0.8076923076923077,0.5384615384615384,0.6461538461538461,0.105,"d_low=0.25, t_high=0.00",15
R4: div<dL OR (div>dH AND term extreme),4,23,5,0.8214285714285714,0.5897435897435898,0.6865671641791046,0.115,"d_low=0.25, d_high=0.65, t_low=0.00, t_high=0.60",15
