K,metric,n,spearman_rho,p_value,auroc_nonzero_var
5,unique_prefix_ratio,100,0.32006354821388583,0.0011694230517063744,0.6960907944514502
5,unique_action_ratio,100,0.31445731313979375,0.0014411775885505417,0.701765447667087
5,action_bigram_jaccard_mean,100,0.2933600537781244,0.0030546664618835554,0.689365279529214
5,action_entropy,100,0.2918559573530956,0.003216046408360349,0.6981925178646491
5,obs_unique_ratio,100,0.2514674160077256,0.011610962468217013,0.6578394283312317
5,prefix_edit_distance_mean,100,0.24592411935484862,0.013650763322302256,0.6603614964270702
5,termination_fraction,100,-0.1876642747266475,0.06152595335264565,0.4508196721311476
10,action_bigram_jaccard_mean,100,0.40668605255937307,2.6844862591422646e-05,0.7704918032786885
10,unique_prefix_ratio,100,0.3984298033595729,4.033601238540098e-05,0.7513661202185793
10,obs_unique_ratio,100,0.3972062647026519,4.280589825405727e-05,0.7488440521227406
10,unique_action_ratio,100,0.3787368714213404,0.0001021040892161402,0.7461118116855822
10,prefix_edit_distance_mean,100,0.373789051953437,0.00012776777779515804,0.7570407734342159
10,action_entropy,100,0.3689992100990374,0.00015820252366917177,0.7423287095418243
10,termination_fraction,100,-0.05879791558424011,0.5611798746019583,0.5128205128205128
15,prefix_edit_distance_mean,100,0.41918010867057043,1.4198758637326904e-05,0.7728036990332071
15,action_bigram_jaccard_mean,100,0.4057280721956495,2.815912448764767e-05,0.7517864649012189
15,obs_unique_ratio,100,0.30745214694082446,0.0018607625378154944,0.66057166876839
15,unique_prefix_ratio,100,0.3073247381996787,0.0018693245286003591,0.6675073560319462
15,unique_action_ratio,100,0.2723645122450813,0.006117172553096523,0.6424968474148801
15,action_entropy,100,0.2550318855340379,0.010444706888595508,0.6380832282471627
15,termination_fraction,100,0.1104387885566279,0.27401945969944413,0.5554854981084489
20,prefix_edit_distance_mean,100,0.41834844984863123,1.4825401530421054e-05,0.7534678436317781
20,action_bigram_jaccard_mean,100,0.38865313094807336,6.443649151796925e-05,0.7217318200924758
20,unique_prefix_ratio,100,0.2080457202493182,0.037793625984194015,0.6130727196300967
20,unique_action_ratio,100,0.1671400146730049,0.09649266714458869,0.575031525851198
20,termination_fraction,100,0.16463219779526553,0.10166957977515831,0.5905842791088693
20,action_entropy,100,0.16142225418313924,0.108610701036007,0.5727196300966793
20,obs_unique_ratio,100,0.0929516429062405,0.3576649906111951,0.5344682639764607
