fold,n,n_zero_var,TP,FP,prec,rec,f1,savings,mode,d_low,t_high,train_savings,test_savings,test_prec,test_rec,test_TP,test_FP
0,20.0,6.0,3.0,1.0,0.75,0.5,0.6,0.1,fixed,,,,,,,,
1,20.0,5.0,3.0,1.0,0.75,0.6,0.6666666666666665,0.1,fixed,,,,,,,,
2,20.0,11.0,7.0,0.0,1.0,0.6363636363636364,0.7777777777777778,0.23333333333333334,fixed,,,,,,,,
3,20.0,6.0,4.0,1.0,0.8,0.6666666666666666,0.7272727272727272,0.13333333333333333,fixed,,,,,,,,
4,20.0,11.0,2.0,1.0,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.06666666666666667,fixed,,,,,,,,
0,,,,,,,,,relearn,,,,,,,0.0,0.0
1,,,,,,,,,relearn,0.02,0.9,0.1,0.1,0.75,0.6,3.0,1.0
2,,,,,,,,,relearn,,,,,,,0.0,0.0
3,,,,,,,,,relearn,,,,,,,0.0,0.0
4,,,,,,,,,relearn,0.11999999999999998,0.9,0.14166666666666666,0.06666666666666667,0.6666666666666666,0.18181818181818182,2.0,1.0
