G,K,rho,p,auroc,metric,TP,FP,prec,rec,savings
8,5,0.24592411935484862,0.013650763322302256,0.6603614964270702,,,,,,
8,10,0.373789051953437,0.00012776777779515804,0.757040773434216,,,,,,
8,15,0.41918010867057043,1.4198758637326904e-05,0.7728036990332072,,,,,,
8,20,0.41834844984863123,1.4825401530421054e-05,0.7534678436317781,,,,,,
8,10,,,,gate,19.0,4.0,0.8260869565217391,0.48717948717948717,0.12666666666666668
16,5,0.2600028353352297,0.008990053359038708,0.6946095076400679,,,,,,
16,10,0.34186584027475214,0.0004992054630911812,0.7306876061120543,,,,,,
16,15,0.371730396383801,0.0001401134976934401,0.7340831918505942,,,,,,
16,20,0.33689240099790685,0.0006095439034411527,0.6910016977928692,,,,,,
16,10,,,,gate,17.0,7.0,0.7083333333333334,0.4473684210526316,0.11333333333333333
