rule,K,d_low,TP,FP,prec,rec,f1,savings,n_params,t_low,t_high,d_high
R1,5,0.02,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.03,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.04,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.05,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.06,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.07,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.08,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.09000000000000001,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.1,17,10,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.14166666666666666,1,,,
R1,5,0.11,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,1,,,
R1,5,0.12000000000000001,20,11,0.6451612903225806,0.5128205128205128,0.5714285714285714,0.16666666666666666,1,,,
R1,5,0.13,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,1,,,
R1,5,0.13999999999999999,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,1,,,
R1,5,0.15,20,13,0.6060606060606061,0.5128205128205128,0.5555555555555556,0.16666666666666666,1,,,
R1,5,0.16,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,1,,,
R1,5,0.16999999999999998,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,1,,,
R1,5,0.18,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,1,,,
R1,5,0.19,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,1,,,
R1,5,0.19999999999999998,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,1,,,
R1,5,0.21,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,1,,,
R1,5,0.22,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,1,,,
R1,5,0.22999999999999998,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,1,,,
R1,5,0.24,21,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.175,1,,,
R1,5,0.25,21,19,0.525,0.5384615384615384,0.5316455696202531,0.175,1,,,
R1,5,0.26,23,23,0.5,0.5897435897435898,0.5411764705882353,0.19166666666666668,1,,,
R1,5,0.27,23,24,0.48936170212765956,0.5897435897435898,0.5348837209302325,0.19166666666666668,1,,,
R1,5,0.28,23,25,0.4791666666666667,0.5897435897435898,0.5287356321839081,0.19166666666666668,1,,,
R1,5,0.29000000000000004,23,25,0.4791666666666667,0.5897435897435898,0.5287356321839081,0.19166666666666668,1,,,
R1,5,0.30000000000000004,23,25,0.4791666666666667,0.5897435897435898,0.5287356321839081,0.19166666666666668,1,,,
R1,5,0.31,23,25,0.4791666666666667,0.5897435897435898,0.5287356321839081,0.19166666666666668,1,,,
R1,5,0.32,23,25,0.4791666666666667,0.5897435897435898,0.5287356321839081,0.19166666666666668,1,,,
R1,5,0.33,24,27,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.2,1,,,
R1,5,0.34,26,30,0.4642857142857143,0.6666666666666666,0.5473684210526316,0.21666666666666667,1,,,
R1,5,0.35000000000000003,26,30,0.4642857142857143,0.6666666666666666,0.5473684210526316,0.21666666666666667,1,,,
R1,5,0.36000000000000004,26,30,0.4642857142857143,0.6666666666666666,0.5473684210526316,0.21666666666666667,1,,,
R1,5,0.37000000000000005,26,30,0.4642857142857143,0.6666666666666666,0.5473684210526316,0.21666666666666667,1,,,
R1,5,0.38,28,31,0.4745762711864407,0.717948717948718,0.5714285714285715,0.23333333333333334,1,,,
R1,5,0.39,28,32,0.4666666666666667,0.717948717948718,0.5656565656565657,0.23333333333333334,1,,,
R1,5,0.4,28,32,0.4666666666666667,0.717948717948718,0.5656565656565657,0.23333333333333334,1,,,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.0,0.5,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.0,0.55,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.0,0.6,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.0,0.65,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.0,0.7,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.0,0.75,
R2,5,,36,59,0.37894736842105264,0.9230769230769231,0.5373134328358209,0.3,2,0.0,0.8,
R2,5,,36,59,0.37894736842105264,0.9230769230769231,0.5373134328358209,0.3,2,0.0,0.8500000000000001,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.0,0.9,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.0,0.95,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.0,1.0,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.05,0.5,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.05,0.55,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.05,0.6,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.05,0.65,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.05,0.7,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.05,0.75,
R2,5,,36,59,0.37894736842105264,0.9230769230769231,0.5373134328358209,0.3,2,0.05,0.8,
R2,5,,36,59,0.37894736842105264,0.9230769230769231,0.5373134328358209,0.3,2,0.05,0.8500000000000001,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.05,0.9,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.05,0.95,
R2,5,,35,59,0.3723404255319149,0.8974358974358975,0.5263157894736843,0.2916666666666667,2,0.05,1.0,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.1,0.5,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.1,0.55,
R2,5,,38,59,0.3917525773195876,0.9743589743589743,0.5588235294117646,0.31666666666666665,2,0.1,0.6,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.1,0.65,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.1,0.7,
R2,5,,37,59,0.3854166666666667,0.9487179487179487,0.548148148148148,0.30833333333333335,2,0.1,0.75,
