K,max_prod_K,mean_prod_K,max_unique_obs_K,mean_unique_obs_K,max_unique_action_K,min_repeat_K,mean_repeat_K,max_repeat_K,nav_fraction_K,task_id,label,reward_var,task_type,unique_action_ratio,unique_prefix_ratio,action_bigram_jaccard_mean,prefix_edit_distance_mean,obs_unique_ratio,termination_fraction,action_entropy
10,5,4.25,10,9.75,10,0.0,0.04375,0.25,0.5641025641025641,pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055538_380023,mixed,0.109375,pick_two_obj_and_place,0.625,0.625,0.5204989863078099,0.4428571428571429,0.625,0.125,0.7185463540765221
15,7,6.0,15,13.625,14,0.06666666666666665,0.11458333333333331,0.25,0.5714285714285714,pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055538_380023,mixed,0.109375,pick_two_obj_and_place,0.625,0.625,0.5513131313131313,0.49523809523809526,0.625,0.125,0.7185463540765221
20,10,8.375,18,15.875,17,0.15000000000000002,0.2375,0.30000000000000004,0.5109489051094891,pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055538_380023,mixed,0.109375,pick_two_obj_and_place,0.75,1.0,0.6617662358310018,0.5821428571428572,0.75,0.125,0.8333333333333334
10,5,5.0,10,10.0,10,0.0,0.012499999999999997,0.09999999999999998,0.5,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-1/trial_T20190908_042713_075616,mixed,0.234375,pick_cool_then_place_in_recep,0.5,0.625,0.43881029684601114,0.325,0.375,0.0,0.5162649802317995
15,8,7.625,15,14.625,15,0.0,0.026785714285714288,0.2142857142857143,0.48739495798319327,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-1/trial_T20190908_042713_075616,mixed,0.234375,pick_cool_then_place_in_recep,0.75,0.875,0.5342916621263304,0.40714285714285714,0.625,0.125,0.8018796874098554
20,11,9.75,20,18.625,20,0.0,0.04553571428571429,0.2142857142857143,0.4935064935064935,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-1/trial_T20190908_042713_075616,mixed,0.234375,pick_cool_then_place_in_recep,0.75,0.875,0.5837210561807769,0.4857142857142857,0.75,0.125,0.8018796874098554
10,4,3.25,10,9.625,8,0.19999999999999996,0.26875000000000004,0.30000000000000004,0.6666666666666666,pick_two_obj_and_place-Vase-None-Desk-204/trial_T20190906_181531_703961,mixed,0.109375,pick_two_obj_and_place,0.5,0.5,0.6022519147519148,0.5428571428571428,0.5,0.125,0.5833333333333334
15,7,5.375,13,11.5,12,0.19999999999999996,0.33125,0.4666666666666667,0.5981308411214953,pick_two_obj_and_place-Vase-None-Desk-204/trial_T20190906_181531_703961,mixed,0.109375,pick_two_obj_and_place,0.75,0.875,0.6735277444311059,0.6571428571428571,0.625,0.125,0.8333333333333334
20,8,6.625,18,13.375,17,0.15000000000000002,0.4,0.55,0.5984848484848485,pick_two_obj_and_place-Vase-None-Desk-204/trial_T20190906_181531_703961,mixed,0.109375,pick_two_obj_and_place,0.75,1.0,0.6894703268776529,0.7160714285714286,0.75,0.125,0.8333333333333334
10,6,3.75,9,7.375,8,0.0,0.125,0.30000000000000004,0.5238095238095238,look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139,mixed,0.234375,look_at_obj_in_light,0.375,0.875,0.7481193759555104,0.5750000000000001,0.625,0.5,0.4685463540765222
15,10,5.0,13,8.0,10,0.0,0.1791666666666667,0.4,0.4594594594594595,look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139,mixed,0.234375,look_at_obj_in_light,0.5,0.875,0.7445368169030747,0.5952380952380952,0.5,0.625,0.5162649802317995
20,14,5.875,14,8.375,11,0.0,0.2125,0.5,0.41975308641975306,look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139,mixed,0.234375,look_at_obj_in_light,0.5,0.875,0.7438696392235131,0.5982142857142857,0.375,0.625,0.5162649802317995
10,4,3.125,10,9.125,9,0.0,0.15,0.4,0.6621621621621622,pick_clean_then_place_in_recep-Ladle-None-DiningTable-4/trial_T20190909_164840_568811,mixed,0.109375,pick_clean_then_place_in_recep,0.875,0.875,0.6344967532467533,0.5607142857142857,0.75,0.25,0.9166666666666666
15,6,4.625,15,12.625,14,0.0,0.11666666666666667,0.2666666666666667,0.6442307692307693,pick_clean_then_place_in_recep-Ladle-None-DiningTable-4/trial_T20190909_164840_568811,mixed,0.109375,pick_clean_then_place_in_recep,0.875,0.875,0.624506509142732,0.6404761904761905,0.875,0.25,0.9166666666666666
