iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
1,off,10,0,5,96,-0.009277653822209686,0.07325664162635803,0.2375,1.0,322.2178359031677,9.215416193008423,0.8195772171020508,332.2600133419037,332.2600133419037,42,baseline,0.5,0.0,,50.0
2,off,10,0,6,96,-0.006720376106386539,0.11142843216657639,0.55,1.0,248.93723607063293,12.600740671157837,0.7974205017089844,262.34168124198914,594.6016945838928,42,baseline,0.6,0.0,,60.0
3,off,10,0,5,96,-0.003869358275551349,0.12242677062749863,0.4625,1.0,286.9388897418976,13.682349681854248,0.8114714622497559,301.44454288482666,896.0462374687195,42,baseline,0.5,0.0,,50.0
4,off,10,0,3,96,-0.011885434476425871,0.09562617540359497,0.5125,1.0,256.15012526512146,14.010201454162598,0.8213629722595215,270.9936738014221,1167.0399112701416,42,baseline,0.3,0.0,,30.0
5,off,10,0,5,96,-0.0059835509018739685,0.07642137259244919,0.575,1.0,240.00085377693176,13.291609048843384,0.807426929473877,254.11013174057007,1421.1500430107117,42,baseline,0.5,0.0,,50.0
6,off,10,0,5,96,-0.0034649127046577632,0.1314449906349182,0.45,1.0,272.9000017642975,13.351646661758423,0.8310985565185547,287.0942726135254,1708.244315624237,42,baseline,0.5,0.0,,50.0
7,off,10,0,4,96,0.00925383282447001,0.0751829668879509,0.5875,1.0,243.71488428115845,13.110743284225464,0.8099391460418701,257.6486642360687,1965.8929798603058,42,baseline,0.4,0.0,,40.0
8,off,10,0,6,96,-0.014147064823191613,0.11596593260765076,0.675,1.0,238.7695348262787,14.017539501190186,0.826190710067749,253.62329864501953,2219.5162785053253,42,baseline,0.6,0.0,,60.0
9,off,10,0,4,96,-0.03192729091097135,0.14132137596607208,0.4,1.0,288.70689129829407,12.373464107513428,0.9112749099731445,301.9983170032501,2521.5145955085754,42,baseline,0.4,0.0,,40.0
10,off,10,0,7,96,-0.007458614578354172,0.0435619056224823,0.55,1.0,234.8924241065979,11.147844314575195,0.822075366973877,246.86767196655273,2768.382267475128,42,baseline,0.7,0.0,,70.0
11,off,10,0,6,96,0.0005088113539386541,0.11185738444328308,0.35,1.0,267.40375661849976,10.851929426193237,0.8255844116210938,279.0945224761963,3047.4767899513245,42,baseline,0.6,0.0,,60.0
12,off,10,0,8,96,0.0009246356203220785,0.020637409761548042,0.2,1.0,298.53529047966003,9.856111288070679,0.8242824077606201,309.2278985977173,3356.7046885490417,42,baseline,0.8,0.0,,80.0
13,off,10,0,2,96,-0.02816142761730589,0.16282546520233154,0.6375,1.0,261.6888723373413,12.061948299407959,0.8185641765594482,274.5835497379303,3631.288238286972,42,baseline,0.2,0.0,,20.0
14,off,10,0,3,96,-0.0072783604337018915,0.1278674602508545,0.5,1.0,294.3206021785736,14.72891879081726,0.8193862438201904,309.88101983070374,3941.169258117676,42,baseline,0.3,0.0,,30.0
15,off,10,0,4,96,0.0061793973873136565,0.07391484081745148,0.5375,1.0,291.51397013664246,11.941893100738525,0.8231823444366455,304.2957000732422,4245.464958190918,42,baseline,0.4,0.0,,40.0
16,off,10,0,1,96,0.008382413419894874,0.1839040219783783,0.4875,1.0,276.1474688053131,9.646270751953125,0.8101780414581299,286.6133289337158,4532.078287124634,42,baseline,0.1,0.0,,10.0
17,off,10,0,4,96,0.0020046279241796583,0.10965755581855774,0.6,1.0,267.5723888874054,10.361379146575928,0.8063509464263916,278.7521779537201,4810.830465078354,42,baseline,0.4,0.0,,40.0
18,off,10,0,4,96,-0.011972393040196039,0.14785178005695343,0.4875,1.0,292.23508524894714,9.99222707748413,0.8469643592834473,303.08558988571167,5113.916054964066,42,baseline,0.4,0.0,,40.0
19,off,10,0,3,96,0.032131003085908105,0.11833354085683823,0.4875,1.0,275.6690866947174,13.20474100112915,0.7866675853729248,289.6700072288513,5403.586062192917,42,baseline,0.3,0.0,,30.0
20,off,10,0,5,96,-0.00789330651241471,0.1619008183479309,0.6125,1.0,229.43270254135132,13.258804321289062,0.8092622756958008,243.51269221305847,5647.098754405975,42,baseline,0.5,0.0,,50.0
21,off,10,0,7,96,-0.003465644404059276,0.09070005267858505,0.4625,1.0,248.34081745147705,13.517638683319092,0.8227851390838623,262.6892066001892,5909.787961006165,42,baseline,0.7,0.0,,70.0
22,off,10,0,3,96,0.017441702948417515,0.09858770668506622,0.6,1.0,285.779821395874,12.90557599067688,0.8171350955963135,299.5112409591675,6209.299201965332,42,baseline,0.3,0.0,,30.0
23,off,10,0,3,96,-0.014640982437413186,0.15333862602710724,0.3125,1.0,304.8366804122925,12.021506786346436,0.8137643337249756,317.679336309433,6526.978538274765,42,baseline,0.3,0.0,,30.0
24,off,10,0,5,96,-0.017026342837198172,0.1391785591840744,0.5875,1.0,260.93629455566406,12.563633680343628,0.8255548477172852,274.33830428123474,6801.316842556,42,baseline,0.5,0.0,,50.0
25,off,10,0,5,96,-0.002216778841102496,0.13692398369312286,0.525,1.0,254.51360726356506,9.7722806930542,0.8171336650848389,265.1145761013031,7066.431418657303,42,baseline,0.5,0.0,,50.0
26,off,10,0,4,96,-0.02326548655400984,0.11389027535915375,0.3625,1.0,317.4047734737396,10.919910192489624,0.814532995223999,329.154093503952,7395.585512161255,42,baseline,0.4,0.0,,40.0
27,off,10,0,6,96,-0.004549018864054233,0.07913725823163986,0.4,1.0,246.54419803619385,13.47122859954834,0.8223788738250732,260.8519310951233,7656.437443256378,42,baseline,0.6,0.0,,60.0
28,off,10,0,5,96,0.009308157049417787,0.11672823131084442,0.525,1.0,257.4594883918762,15.180193901062012,0.8386929035186768,273.4921898841858,7929.929633140564,42,baseline,0.5,0.0,,50.0
29,off,10,0,2,96,0.025986590117099695,0.11624187976121902,0.5125,1.0,279.3376944065094,13.286290168762207,0.7999074459075928,293.4367673397064,8223.36640048027,42,baseline,0.2,0.0,,20.0
30,off,10,0,9,96,0.0003655405598692596,0.048656269907951355,0.6125,1.0,192.4125702381134,10.019949197769165,0.7209136486053467,203.1649465560913,8426.531347036362,42,baseline,0.9,0.0,,90.0
31,off,10,0,4,96,0.014685167574498337,0.08406690508127213,0.45,1.0,309.72575640678406,8.425715208053589,0.806917667388916,318.9726884365082,8745.50403547287,42,baseline,0.4,0.0,,40.0
32,off,10,0,3,96,0.025062518196136807,0.15999940037727356,0.3875,1.0,307.55996537208557,10.075689554214478,0.817659854888916,318.46723318099976,9063.97126865387,42,baseline,0.3,0.0,,30.0
33,off,10,0,4,96,-0.013035069685429335,0.21237993240356445,0.4,1.0,275.3096652030945,10.048546552658081,0.8037817478179932,286.17693543434143,9350.148204088211,42,baseline,0.4,0.0,,40.0
34,off,10,0,3,96,0.018516933792852797,0.13130702078342438,0.4625,1.0,279.0115852355957,9.355901956558228,0.8095583915710449,289.19000363349915,9639.33820772171,42,baseline,0.3,0.0,,30.0
35,off,10,0,4,96,-0.07696483135430299,0.17914269864559174,0.525,1.0,294.4344928264618,11.243083477020264,0.8031198978424072,306.4880840778351,9945.826291799545,42,baseline,0.4,0.0,,40.0
