iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
1,on,10,2,5,96,-0.006383149921020959,0.06257758289575577,0.1875,1.0,279.66772961616516,8.901710033416748,0.8481898307800293,289.43947863578796,289.43947863578796,42,gated,0.375,0.2,0.4,25.0
2,on,10,3,5,96,-0.05268871715611567,0.14087018370628357,0.55,1.0,179.98172807693481,16.917505264282227,0.7707443237304688,197.69277811050415,487.1322567462921,42,gated,0.2857142857142857,0.3,0.6,16.666666666666664
3,on,10,1,4,96,-0.0030190222896635532,0.18960970640182495,0.425,1.0,266.4312973022461,13.613070726394653,0.830176830291748,280.8904585838318,768.0227153301239,42,gated,0.3333333333333333,0.1,0.25,25.0
4,on,10,1,4,96,0.001950700465386035,0.13313329219818115,0.4125,1.0,233.95752000808716,13.194985628128052,0.8544166088104248,248.0287368297577,1016.0514521598816,42,gated,0.3333333333333333,0.1,0.25,25.0
5,on,10,2,6,96,-0.010270287493426622,0.08171027898788452,0.475,1.0,201.2736394405365,13.629037141799927,0.746711015701294,215.66913866996765,1231.7205908298492,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
6,on,10,3,6,96,-0.0029437780831358396,0.09627709537744522,0.275,1.0,224.88742423057556,10.407791137695312,0.7610995769500732,236.07759547233582,1467.798186302185,42,gated,0.42857142857142855,0.3,0.5,25.0
7,on,10,2,4,96,-0.06279400714657868,0.22045914828777313,0.6,1.0,207.23806881904602,13.981635332107544,0.7359609603881836,221.9802222251892,1689.7784085273743,42,gated,0.25,0.2,0.5,16.666666666666664
8,on,10,2,7,96,-0.009178708452964202,0.16207391023635864,0.6,1.0,194.21971654891968,15.720015287399292,0.7371952533721924,210.6965491771698,1900.474957704544,42,gated,0.625,0.2,0.2857142857142857,41.66666666666667
9,on,10,3,4,96,0.012876263295765966,0.16437412798404694,0.325,1.0,229.85777521133423,13.351032257080078,0.8558375835418701,244.0893075466156,2144.5642652511597,42,gated,0.14285714285714285,0.3,0.75,8.333333333333332
10,on,10,1,5,96,-0.010681782019673847,0.15254272520542145,0.5875,1.0,192.97132849693298,16.36899161338806,0.7372767925262451,210.09885692596436,2354.663122177124,42,gated,0.4444444444444444,0.1,0.2,33.33333333333333
