task_type,K,metric,n,spearman_rho,p_value,auroc_nonzero_var
pick_heat_then_place_in_recep,5,unique_action_ratio,5,0.2867696673382022,0.6399416161308044,0.625
pick_heat_then_place_in_recep,5,unique_prefix_ratio,5,0.2867696673382022,0.6399416161308044,0.625
pick_heat_then_place_in_recep,5,action_bigram_jaccard_mean,5,0.3354101966249684,0.5810906728217107,0.75
pick_heat_then_place_in_recep,5,prefix_edit_distance_mean,5,0.3354101966249684,0.5810906728217107,0.75
pick_heat_then_place_in_recep,5,obs_unique_ratio,5,0.22941573387056177,0.7104817254267775,0.75
pick_heat_then_place_in_recep,5,termination_fraction,5,,,0.5
pick_heat_then_place_in_recep,5,action_entropy,5,0.2867696673382022,0.6399416161308044,0.625
pick_heat_then_place_in_recep,10,unique_action_ratio,5,0.6454972243679028,0.23944259863600298,0.75
pick_heat_then_place_in_recep,10,unique_prefix_ratio,5,0.516185401208764,0.3732529436313575,0.875
pick_heat_then_place_in_recep,10,action_bigram_jaccard_mean,5,0.7826237921249264,0.11761376087345812,0.75
pick_heat_then_place_in_recep,10,prefix_edit_distance_mean,5,0.6708203932499368,0.21516994256955022,1.0
pick_heat_then_place_in_recep,10,obs_unique_ratio,5,0.6249999999999999,0.25959719810717036,0.75
pick_heat_then_place_in_recep,10,termination_fraction,5,,,0.5
pick_heat_then_place_in_recep,10,action_entropy,5,0.8029550685469662,0.10183797037740709,1.0
pick_heat_then_place_in_recep,15,unique_action_ratio,5,-0.35355339059327373,0.5594043441634877,0.0
pick_heat_then_place_in_recep,15,unique_prefix_ratio,5,-0.17677669529663687,0.7760987652032671,0.125
pick_heat_then_place_in_recep,15,action_bigram_jaccard_mean,5,0.11180339887498947,0.8579446176050994,0.25
pick_heat_then_place_in_recep,15,prefix_edit_distance_mean,5,0.7826237921249264,0.11761376087345812,0.75
pick_heat_then_place_in_recep,15,obs_unique_ratio,5,0.6481812160876685,0.23683642864860735,0.625
pick_heat_then_place_in_recep,15,termination_fraction,5,,,0.5
pick_heat_then_place_in_recep,15,action_entropy,5,-0.35355339059327373,0.5594043441634877,0.0
pick_heat_then_place_in_recep,20,unique_action_ratio,5,0.35355339059327373,0.5594043441634877,0.5
pick_heat_then_place_in_recep,20,unique_prefix_ratio,5,-0.12499999999999999,0.8412604997727525,0.25
pick_heat_then_place_in_recep,20,action_bigram_jaccard_mean,5,0.11180339887498947,0.8579446176050994,0.25
pick_heat_then_place_in_recep,20,prefix_edit_distance_mean,5,0.11180339887498947,0.8579446176050994,0.25
pick_heat_then_place_in_recep,20,obs_unique_ratio,5,0.516185401208764,0.3732529436313575,0.875
pick_heat_then_place_in_recep,20,termination_fraction,5,0.3952847075210474,0.5101402032424359,0.625
pick_heat_then_place_in_recep,20,action_entropy,5,0.45883146774112354,0.43699762088840094,0.5
pick_two_obj_and_place,5,unique_action_ratio,5,0.4325904563487001,0.46690512452091865,0.5833333333333333
pick_two_obj_and_place,5,unique_prefix_ratio,5,0.4325904563487001,0.46690512452091865,0.5833333333333333
pick_two_obj_and_place,5,action_bigram_jaccard_mean,5,0.5270462766947299,0.3614548502018726,0.6666666666666666
pick_two_obj_and_place,5,prefix_edit_distance_mean,5,0.0,1.0,0.5
pick_two_obj_and_place,5,obs_unique_ratio,5,-0.027777777777777776,0.9646367837187444,0.41666666666666663
pick_two_obj_and_place,5,termination_fraction,5,,,0.5
pick_two_obj_and_place,5,action_entropy,5,0.5270462766947299,0.3614548502018726,0.6666666666666666
pick_two_obj_and_place,10,unique_action_ratio,5,0.16222142113076254,0.7943627883091944,0.75
pick_two_obj_and_place,10,unique_prefix_ratio,5,0.8651809126974002,0.05820729070299898,0.9166666666666666
pick_two_obj_and_place,10,action_bigram_jaccard_mean,5,0.9486832980505138,0.013846832988859059,1.0
pick_two_obj_and_place,10,prefix_edit_distance_mean,5,0.7905694150420948,0.11136715471408393,1.0
pick_two_obj_and_place,10,obs_unique_ratio,5,0.8055555555555555,0.09987027522857454,0.9166666666666666
pick_two_obj_and_place,10,termination_fraction,5,0.3042903097250923,0.6186303886288663,0.8333333333333333
pick_two_obj_and_place,10,action_entropy,5,0.16222142113076254,0.7943627883091944,0.75
pick_two_obj_and_place,15,unique_action_ratio,5,0.5555555555555556,0.33093554969438527,0.6666666666666666
pick_two_obj_and_place,15,unique_prefix_ratio,5,0.4325904563487001,0.46690512452091865,0.5833333333333333
pick_two_obj_and_place,15,action_bigram_jaccard_mean,5,0.7905694150420948,0.11136715471408393,1.0
pick_two_obj_and_place,15,prefix_edit_distance_mean,5,0.6324555320336759,0.25221549635550466,1.0
pick_two_obj_and_place,15,obs_unique_ratio,5,0.35355339059327373,0.5594043441634877,0.5
pick_two_obj_and_place,15,termination_fraction,5,0.9128709291752769,0.03046629166217096,1.0
pick_two_obj_and_place,15,action_entropy,5,0.4325904563487001,0.46690512452091865,0.5833333333333333
pick_two_obj_and_place,20,unique_action_ratio,5,0.7453559924999299,0.14822014621212787,0.6666666666666666
pick_two_obj_and_place,20,unique_prefix_ratio,5,0.5590169943749475,0.327276131496145,0.75
pick_two_obj_and_place,20,action_bigram_jaccard_mean,5,0.6324555320336759,0.25221549635550466,1.0
pick_two_obj_and_place,20,prefix_edit_distance_mean,5,0.6324555320336759,0.25221549635550466,1.0
pick_two_obj_and_place,20,obs_unique_ratio,5,-0.5590169943749475,0.327276131496145,0.25
pick_two_obj_and_place,20,termination_fraction,5,1.0,0.0,1.0
pick_two_obj_and_place,20,action_entropy,5,0.7453559924999299,0.14822014621212787,0.6666666666666666
