K,metric,n,spearman_rho,p_value,auroc_nonzero_var
5,action_bigram_jaccard_mean,22,0.36355010164348417,0.09628514709478206,0.78125
5,unique_prefix_ratio,22,0.33050903217208977,0.1330133017308312,0.7232142857142857
5,action_entropy,22,0.28214329342103467,0.2033171631101585,0.7321428571428571
5,unique_action_ratio,22,0.2635739740675222,0.2359346613932003,0.7142857142857143
5,obs_unique_ratio,22,0.21673175568077113,0.3326427676632782,0.7053571428571428
5,prefix_edit_distance_mean,22,0.19367521781498215,0.38780173002771523,0.7053571428571429
5,termination_fraction,22,,,0.5
10,action_bigram_jaccard_mean,22,0.4581160883037293,0.03202421792763467,0.8392857142857143
10,unique_prefix_ratio,22,0.4381339861960076,0.04139944340519314,0.8348214285714286
10,prefix_edit_distance_mean,22,0.3207402214121348,0.14556787434998117,0.7946428571428572
10,obs_unique_ratio,22,0.2882368023622075,0.1933097214186043,0.7946428571428572
10,action_entropy,22,0.2431698458860209,0.27550951699821524,0.7946428571428572
10,unique_action_ratio,22,0.22377394472021964,0.3167804798858105,0.7723214285714286
10,termination_fraction,22,0.18039469511433007,0.42176716825903005,0.6428571428571428
15,action_bigram_jaccard_mean,22,0.3987054643542878,0.06606184780260146,0.7946428571428571
15,prefix_edit_distance_mean,22,0.3257701575236369,0.13900315837879215,0.8169642857142857
15,termination_fraction,22,0.2811804152551687,0.20492974429550567,0.65625
15,unique_prefix_ratio,22,0.11084587177576599,0.6233678837495855,0.5669642857142857
15,obs_unique_ratio,22,-0.02593142783430915,0.9088032241301188,0.5625
15,unique_action_ratio,22,-0.09243196219153159,0.6824550939406194,0.5044642857142857
15,action_entropy,22,-0.14272979437910965,0.5263148292251504,0.4866071428571428
20,action_bigram_jaccard_mean,22,0.43580804080084634,0.04261687074967843,0.7678571428571428
20,termination_fraction,22,0.32367387860847374,0.14171300814468485,0.6875
20,prefix_edit_distance_mean,22,0.2898352938546643,0.19074078607642472,0.7589285714285714
20,unique_action_ratio,22,0.05550929677320966,0.8061834101216999,0.5178571428571429
20,action_entropy,22,0.022306385685110598,0.921510809706466,0.5044642857142857
20,unique_prefix_ratio,22,0.012891346812049561,0.9545942936541985,0.5580357142857143
20,obs_unique_ratio,22,-0.013936466181302174,0.9509173174671407,0.5044642857142857
