task_id,label,wall_time_sec,step_tokens,rewards_mean,rewards_var,won,group_size,max_steps_cap,gate_cut
pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055538_380023,baseline,22.901474475860596,218,0.125,0.109375,1,8,30,0
look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139,baseline,23.746970653533936,146,0.5,0.25,4,8,30,0
pick_two_obj_and_place-Vase-None-Desk-204/trial_T20190906_181531_703961,baseline,28.202102184295654,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Lettuce-None-CounterTop-1/trial_T20190908_042713_075616,baseline,31.923433780670166,201,0.375,0.234375,3,8,30,0
pick_clean_then_place_in_recep-Ladle-None-DiningTable-4/trial_T20190909_164840_568811,baseline,26.117144107818604,151,0.75,0.1875,6,8,30,0
pick_and_place_simple-Box-None-Dresser-224/trial_T20190907_164104_229696,baseline,31.06078267097473,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Apple-None-GarbageCan-2/trial_T20190906_195943_081289,baseline,32.77120399475098,226,0.375,0.234375,3,8,30,0
pick_heat_then_place_in_recep-Cup-None-Cabinet-22/trial_T20190907_173251_960848,baseline,33.0189094543457,240,0.0,0.0,0,8,30,0
pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523,baseline,28.005553245544434,161,0.75,0.1875,6,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-DiningTable-16/trial_T20190909_114508_617301,baseline,38.5664918422699,240,0.0,0.0,0,8,30,0
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,baseline,28.525564908981323,193,0.375,0.234375,3,8,30,0
pick_two_obj_and_place-SprayBottle-None-GarbageCan-419/trial_T20190908_164236_518264,baseline,27.293708562850952,221,0.125,0.109375,1,8,30,0
pick_two_obj_and_place-RemoteControl-None-Ottoman-203/trial_T20190906_182952_858723,baseline,29.753480911254883,240,0.0,0.0,0,8,30,0
pick_heat_then_place_in_recep-Apple-None-DiningTable-26/trial_T20190907_060234_011675,baseline,24.719980478286743,141,0.875,0.109375,7,8,30,0
pick_heat_then_place_in_recep-Egg-None-CounterTop-2/trial_T20190908_122951_021026,baseline,31.603432178497314,227,0.125,0.109375,1,8,30,0
pick_two_obj_and_place-Newspaper-None-Drawer-224/trial_T20190911_101248_326533,baseline,29.94641947746277,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Candle-None-Toilet-407/trial_T20190909_055248_059513,baseline,20.269749879837036,114,0.875,0.109375,7,8,30,0
pick_and_place_simple-Pencil-None-Dresser-330/trial_T20190909_071128_012892,baseline,27.552249431610107,224,0.375,0.234375,3,8,30,0
pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359,baseline,33.9854953289032,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-Lettuce-None-Fridge-19/trial_T20190908_100138_446072,baseline,29.21237063407898,148,0.875,0.109375,7,8,30,0
pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,baseline,23.791316747665405,186,0.875,0.109375,7,8,30,0
pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384,baseline,21.382088661193848,117,0.875,0.109375,7,8,30,0
pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055649_717880,baseline,25.751304626464844,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,baseline,35.466604232788086,240,0.0,0.0,0,8,30,0
pick_and_place_simple-SprayBottle-None-Toilet-415/trial_T20190909_075955_678702,baseline,10.677160024642944,92,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190906_205324_559361,baseline,34.30505609512329,211,0.625,0.234375,5,8,30,0
pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334,baseline,18.832134008407593,86,0.875,0.109375,7,8,30,0
pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_021000_274398,baseline,5.0733795166015625,32,1.0,0.0,8,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124425_112757,baseline,35.510701179504395,237,0.125,0.109375,1,8,30,0
pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240,baseline,33.12509107589722,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866,baseline,30.385668754577637,162,0.5,0.25,4,8,30,0
pick_two_obj_and_place-CD-None-Drawer-304/trial_T20190907_230232_832893,baseline,27.28432559967041,204,0.375,0.234375,3,8,30,0
pick_clean_then_place_in_recep-Tomato-None-CounterTop-25/trial_T20190909_012550_586494,baseline,32.08393383026123,211,0.25,0.1875,2,8,30,0
pick_cool_then_place_in_recep-Tomato-None-Microwave-18/trial_T20190909_012524_159092,baseline,30.71903419494629,183,0.5,0.25,4,8,30,0
pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068,baseline,29.444145441055298,240,0.0,0.0,0,8,30,0
pick_two_obj_and_place-CreditCard-None-Dresser-311/trial_T20190907_201917_045715,baseline,28.216520309448242,229,0.125,0.109375,1,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-30/trial_T20190908_052007_212776,baseline,39.32174015045166,240,0.0,0.0,0,8,30,0
